Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cuba,CUB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.89020987,47.17417853,51.31062549,46.86792841,45.77701604,41.25463745,41.42907832,36.81810576,34.82275567,33.7190759,34.43080906,34.05063948,34.81081864,33.57159077,33.77568343,26.31836464,21.96805289,18.59355868,18.7318362,16.12421108,13.15763079,16.68021251,17.10234945,16.88796399,18.74847139,,,
Curacao,CUW,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096969017,0.081382555,0.080581859,0.081862969,0.081762949,0.078676199,0.075462548,0.072376356,0.278807964,0.26692483,0.271912925,0.266028634,0.260307707,0.254083166,0.2455258,0.241213537,0.248549941,0.24391791,0.241650883,0.357017931,0.355516878,0.348989722,,,
Cayman Islands,CYM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.495929457,0.365810435,0.347099124,0.334859966,0.72318703,3.354298244,3.357069265,3.294070244,3.26216883,3.226642259,3.096657194,3.047475709,3.176415376,3.257163598,3.30432862,3.364850878,3.514238286,4.355311234,5.4936646,5.978516477,6.353225823,7.415751456,8.349767951,9.515978299,9.389138187,,,
Czech Republic,CZE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.877399278,2.582384775,4.26694864,4.314199594,4.992641951,4.422107174,4.449925034,4.666596862,5.149519809,5.456365622,4.857910436,5.286178177,5.754919659,5.601397495,6.083174357,6.380456127,6.815812039,7.658254009,7.844963726,8.684377588,9.736711358,10.47894458,11.13345922,12.19430519,12.75266949,,,
Germany,DEU,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.098033795,1.988632651,2.062621567,2.110930523,2.266201491,2.319748695,2.252173603,2.824422296,3.045118751,3.26371215,3.700437282,3.899672477,4.412636421,5.05846723,5.825244491,6.764551023,7.753224491,9.406588146,8.592248357,9.630061034,10.2935195,11.39435605,12.01513604,12.08907612,13.37887765,,,
Djibouti,DJI,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.59281918,27.20544826,28.17450859,29.05073594,30.95444817,31.17414324,32.02655576,31.55958507,31.94988786,32.681085,31.44321203,31.6750798,32.44465467,32.88128237,33.62122057,33.09458038,33.00678134,32.52391751,33.14344988,33.3129716,34.43333869,34.44418956,34.06582189,34.01481969,34.15104422,,,
Dominica,DMA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.60310178,14.50519374,14.49362266,13.63053224,13.5270878,15.64742015,20.84830639,15.51730836,15.00513752,14.07680866,11.03438438,9.385706291,13.57514395,10.53800386,12.13971788,10.64780506,9.746463721,8.577909901,8.240000449,8.781454755,8.655136587,11.2489406,9.397851522,11.09046893,9.865335026,,,
Denmark,DNK,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.041559919,7.070898904,7.747445646,7.701496929,7.330398906,7.512177593,7.261181887,8.102730043,8.517843773,9.066353652,10.73720026,11.12359931,11.86587956,12.72030696,14.4490696,16.12639811,15.26712314,17.7009209,18.54926116,19.34276046,21.35483157,23.89897534,27.28196168,27.37906797,30.21992724,,,
Dominican Republic,DOM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.06171818,28.21573401,25.40824664,26.91832316,24.50608823,22.40362917,20.37543017,18.31284968,21.05971851,20.49914684,17.75804786,18.73004134,17.45619863,19.65043804,19.71950473,19.65742689,18.49627468,18.59584965,18.24553486,18.29303518,17.99830483,17.85506973,17.71429205,17.98891449,18.3784571,,,
Algeria,DZA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177228296,0.323692182,0.289771162,0.476341459,0.403959614,0.422480368,0.389526101,0.472147657,0.544070887,0.51001773,0.427372232,0.427684925,0.514766099,0.469092426,0.441740769,0.584727459,0.408727321,0.411409198,0.298765681,0.311808089,0.257198313,0.179943567,0.193122571,0.144518813,0.068775439,,,
East Asia & Pacific (excluding high income),EAP,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.99887621,36.30483929,35.94762419,34.56881798,33.91596245,32.16344746,32.73914168,32.19951335,32.23074777,32.5802945,32.23426631,31.51367668,30.51410692,28.18159141,25.08409335,23.49234449,22.446077,21.43411675,21.2536235,20.93601792,20.04725487,19.22570768,19.66452937,19.64212914,19.72511196,,,
